OBSID,Objname,RAdeg,DEdeg
653804120,J064112.96+092613.7,100.304041,9.437163
653804124,J064103.50+093118.4,100.264602,9.52178
653804205,J064044.85+095744.1,100.186892,9.96226
653804207,J063941.42+094619.5,99.922617,9.772093
653804223,J064100.24+095849.5,100.251038,9.980427
653804227,J064100.98+093244.5,100.254109,9.5457
653804230,J064107.77+094402.9,100.282385,9.734143
653804232,J064106.09+093623.1,100.275375,9.60644
653804233,J064051.17+094446.0,100.213227,9.746136
653804235,J064137.26+094505.9,100.405254,9.751646
653804236,J064127.28+093505.5,100.363669,9.584878
653804238,J064128.77+093838.6,100.369903,9.644069
653804239,J064042.17+093337.3,100.175736,9.560386
653804245,J064139.73+094027.8,100.415564,9.674413
653804247,J064131.11+092658.6,100.37964,9.449615
653804250,J064108.82+094115.0,100.28675,9.687509
653805101,J063940.76+085852.9,99.919855,8.981374
653808018,J064234.68+085831.7,100.644524,8.975484
653808049,J064150.05+092932.6,100.458551,9.492393
653808165,J064103.49+090513.3,100.264562,9.087049
653809010,J064208.68+094121.1,100.536183,9.689206
653809023,J064148.07+094243.6,100.450294,9.712138
653809155,J064107.11+102640.7,100.27965,10.444655
653809202,J064132.00+100024.2,100.383339,10.006738
653809216,J064138.78+100933.8,100.41161,10.159398
653814115,J063110.08+102604.5,97.792,10.434586
653814202,J063205.28+102517.9,98.022016,10.421652
653904052,J064104.43+095150.8,100.268471,9.864115
653904054,J064041.35+095413.7,100.172316,9.903832
653904059,J064113.80+095543.8,100.307532,9.928846
653904068,J064056.94+094840.6,100.237262,9.811301
653904073,J064029.94+095010.4,100.124766,9.836239
653904081,J064052.10+091353.8,100.217122,9.231616
653904106,J064028.77+093100.5,100.119913,9.516832
653904120,J064112.96+092613.7,100.304041,9.437163
653904124,J064103.50+093118.4,100.264602,9.52178
653904202,J064025.68+095835.4,100.107037,9.976525
653904205,J064044.85+095744.1,100.186892,9.96226
653904207,J063941.42+094619.5,99.922617,9.772093
653904227,J064100.98+093244.5,100.254109,9.5457
653904229,J064051.17+094446.0,100.213227,9.746136
653904230,J064115.42+094639.6,100.31425,9.777676
653904232,J064106.09+093623.1,100.275375,9.60644
653904233,J064107.77+094402.9,100.282385,9.734143
653904235,J064137.26+094505.9,100.405254,9.751646
653904236,J064127.28+093505.5,100.363669,9.584878
653904239,J064042.17+093337.3,100.175736,9.560386
653904245,J064139.73+094027.8,100.415564,9.674413
653904247,J064131.11+092658.6,100.37964,9.449615
653904250,J064108.82+094115.0,100.28675,9.687509
653905101,J063940.76+085852.9,99.919855,8.981374
653908049,J064150.05+092932.6,100.458551,9.492393
653908160,J064103.49+090513.3,100.264562,9.087049
653909014,J064208.68+094121.1,100.536183,9.689206
653909023,J064148.07+094243.6,100.450294,9.712138
653909155,J064107.11+102640.7,100.27965,10.444655
653909216,J064138.78+100933.8,100.41161,10.159398
653913173,J064537.45+102505.9,101.406054,10.418333
653914115,J063110.08+102604.5,97.792,10.434586
653914202,J063205.28+102517.9,98.022016,10.421652
654709030,J064108.85+094601.2,100.2868946,9.7670211
654709034,J064100.24+095849.5,100.2510412,9.9804387
654709038,J064056.94+094840.6,100.2372874,9.8112967
654709040,J064029.88+095010.3,100.1245324,9.8362057
654709043,J064051.54+094324.1,100.2147559,9.7233812
654709056,J064138.71+100933.3,100.4113133,10.1592708
654709098,J064107.11+102641.0,100.279634,10.4447318
654709129,J064123.03+092726.6,100.345984,9.4574099
654709175,J064008.52+094823.2,100.0355184,9.8064616
654709187,J064129.18+093935.8,100.3715943,9.6599664
654709201,J064042.18+093337.3,100.1757515,9.5603801
654709203,J064021.02+093631.9,100.0875978,9.6088659
654709212,J064109.99+092746.0,100.2916619,9.4627986
654709214,J064053.76+093038.9,100.2240336,9.5108112
654709220,J064026.24+093801.4,100.1093678,9.633734
654709223,J064028.81+093102.0,100.120061,9.5172238
654709225,J064104.70+093626.6,100.2696043,9.6074034
654709230,J064230.50+090926.1,100.6271217,9.1572627
654714133,J063020.68+100416.1,97.5862013,10.0711555
654714160,J063123.26+095512.1,97.846919,9.9200433
681508241,J042204.96+193448.2,65.520707,19.580056
681607240,J054934.59+270527.4,87.394127,27.09096
681703139,J060754.62-061434.1,91.97761,-6.242827
681704026,J061028.35-060902.4,92.61813,-6.150687
681709217,J061439.95-062917.3,93.66649,-6.488165
681715200,J060958.03-060227.0,92.49182,-6.040846
681716164,J060752.43-051603.7,91.96847,-5.267704
681808045,J203612.67+404136.9,309.0528313,40.6936094
681816192,J202348.01+421225.7,305.9500666,42.2071613
682116192,J040056.13+314301.2,60.233911,31.71701
682301006,J054322.82-021608.9,85.84512,-2.269161
682301031,J054101.88-015857.6,85.25787,-1.98268
682301040,J054126.11-020016.1,85.35882,-2.004493
682301051,J054129.83-014137.7,85.37431,-1.693833
682301061,J054024.61-015230.9,85.10255,-1.875276
682301076,J054221.24-015910.6,85.5885,-1.986289
682301083,J054304.55-020906.4,85.76899,-2.151799
682301086,J054212.42-020509.7,85.55175,-2.086053
682301092,J054221.28-020742.3,85.58868,-2.128426
682301098,J054209.06-020817.4,85.53775,-2.138167
682301101,J054406.70-015115.5,86.02795,-1.854327
682301146,J054338.99-014115.7,85.91248,-1.687698
682301160,J054216.20-015615.0,85.56754,-1.937504
682301162,J054135.01-013854.9,85.39591,-1.648591
682301167,J054146.91-014957.4,85.44546,-1.832636
682301205,J054054.48-021902.8,85.22701,-2.317448
682301216,J054124.51-022236.4,85.35214,-2.376799
682301221,J054147.05-021637.9,85.44605,-2.277219
682301242,J053914.53-021936.6,84.81057,-2.326859
682301245,J053940.16-022048.0,84.91737,-2.346676
682302020,J053927.92-015549.3,84.86634,-1.930386
682302028,J053643.38-013658.9,84.18076,-1.616371
682302054,J053934.78-013211.9,84.89495,-1.536651
682302102,J053814.11-021559.7,84.55882,-2.2666
682302108,J053829.16-021615.7,84.62151,-2.271048
682302124,J053901.37-021827.4,84.75571,-2.307626
682302127,J053715.42-014100.0,84.31427,-1.683338
682302135,J053759.86-015012.7,84.49943,-1.836888
682302151,J053456.92-012254.7,83.7372,-1.381867
682302159,J053412.82-012037.8,83.55345,-1.34385
682302160,J053343.26-010834.7,83.43026,-1.142983
682302184,J053558.63-010445.2,83.9943,-1.079226
682302201,J053736.85-020817.7,84.40356,-2.138251
682302211,J053618.30-015241.6,84.07629,-1.878239
682302232,J053901.28-012759.7,84.75537,-1.466593
682302236,J053859.48-013827.1,84.74784,-1.640874
682303177,J053815.64-000322.1,84.56519,-0.0561501
682303181,J053821.48-000843.9,84.58952,-0.1455325
682303249,J053654.51-002505.0,84.22715,-0.4180768
682305056,J054038.90-004702.3,85.16212,-0.7839962
682305061,J053951.20-004354.9,84.96334,-0.7319232
682305092,J054034.17-012153.9,85.14241,-1.364991
682305093,J054056.51-012216.2,85.23547,-1.371176
682305133,J054208.52-011558.5,85.53553,-1.266268
682305159,J054228.52-004205.7,85.61887,-0.7015924
682305186,J053743.56-004556.2,84.43152,-0.7656361
682305219,J053913.01-012721.2,84.80421,-1.455906
682308001,J054515.40-003849.4,86.31419,-0.6470795
682308046,J054618.89-000538.1,86.57873,-0.0939352
682308048,J054607.88-001156.8,86.53284,-0.1991351
682308195,J054512.30-011336.8,86.30126,-1.2269
682309017,J054609.25+001332.8,86.53857,0.2257828
682309139,J054707.26+001932.1,86.78026,0.3256091
682309198,J054735.76+003839.8,86.89901,0.6444076
682309209,J054445.31+002028.3,86.18883,0.341211
682310025,J053446.86-002612.5,83.69525,-0.4368243
682310049,J053515.69-005928.6,83.8154,-0.9912979
682310051,J053545.03-003739.5,83.93766,-0.6276411
682310052,J053520.17-004213.7,83.83405,-0.703831
682310068,J053543.27-003436.7,83.93031,-0.5768709
682310087,J053339.82-003854.0,83.41595,-0.6483372
682310089,J053349.04-004625.9,83.45435,-0.7738676
682310099,J053405.35-004717.1,83.52232,-0.7881073
682310112,J053408.22-003129.8,83.53428,-0.5249539
682310124,J053301.71-002102.6,83.25716,-0.3507454
682310201,J053706.05-004229.7,84.27524,-0.7082543
682310214,J053703.76-004106.4,84.26569,-0.6851273
682310220,J053619.79-003044.3,84.08247,-0.5123276
682310224,J053708.81-003554.5,84.28674,-0.5984948
682310227,J053530.84-001052.9,83.87852,-0.1813696
682313239,J054748.36+004058.9,86.95152,0.6830305
682313242,J054801.07+003430.5,87.00446,0.5751545
682316141,J053910.95+020229.6,84.79565,2.041575
682316144,J053903.24+020107.3,84.76352,2.018722
682408045,J203612.67+404136.9,309.0528313,40.6936094
682414246?,J201842.19+411023.7,304.6758039,41.1732624
682416192,J202348.01+421225.7,305.9500666,42.2071613
682504113,J025607.99+200324.1,44.03332,20.05672
682504119,J025525.80+200451.3,43.85754,20.08094
682509021,J025811.23+203003.0,44.54681,20.50085
682911054,J043558.94+223835.0,68.995597,22.643058
683105206,J202830.23+392745.5,307.1259819,39.4626478
683116192,J202348.01+421225.7,305.9500666,42.2071613
683310128,J000904.85+581648.0,2.27022,58.28001
683314231,J001004.29+590310.8,2.5178955,59.053017
683703056,J033842.61+323559.4,54.67757,32.59986
683703113,J033749.92+324144.5,54.45804,32.69572
683703150,J034058.38+323023.7,55.24329,32.50659
683704007,J034332.06+320617.3,55.88361,32.10482
683704055,J034548.28+322411.8,56.45117,32.40329
683704104,J034646.46+320149.2,56.6936,32.03035
683704115,J034444.71+320402.5,56.18632,32.06737
683704118,J034507.96+320401.9,56.28318,32.0672
683704119,J034505.76+320308.0,56.27402,32.05223
683705030,J034237.81+311321.2,55.65757,31.22257
683705226,J034102.37+311657.2,55.2599,31.28257
683705236,J034142.51+311856.7,55.42715,31.31577
683714093,J033711.30+330251.7,54.2971,33.04771
685016138,J021006.04+600707.3,32.525173,60.11872
691201017,J041221.19+133956.3,63.0882946,13.6656651
691216135,J040754.00+175025.8,61.9750052,17.8405094
691602144,J044320.22+294006.0,70.83427,29.66835
691606009,J045556.06+303620.4,73.98361,30.60568
691606010,J045602.02+302103.6,74.00845,30.35101
694105073,J041309.33+500811.0,63.2889074,50.1364115
695301064,J043556.83+235205.0,68.9868181,23.8680689
695302029,J043150.57+242417.7,67.9607179,24.4049376
695302180,J043029.59+242644.9,67.6233209,24.4458114
695302232,J043334.56+242105.8,68.3940112,24.3516263
695302242,J043306.63+240955.0,68.2776266,24.16529
695303047,J043339.07+252038.0,68.4128195,25.3439161
695303151,J043243.07+255231.0,68.1794767,25.875284
695303213,J043336.79+260949.0,68.4033099,26.163631
695304240,J043920.94+254501.6,69.837255,25.7504447
695308073,J044303.07+252018.7,70.7628175,25.3385301
695308110,J044104.71+245106.0,70.2696583,24.8516764
695310168,J043051.38+244222.3,67.7141119,24.7062033
695314058,J042951.55+260644.8,67.4648206,26.1124597
695314064,J043044.24+260124.7,67.6843374,26.0235362
