Objname,RAdeg,DEdeg,SED_SLOPE,YSO_CLASS,Number,W2magMean,W2magMed,sig_W2Flux,err_W2Flux,delW2mag,Period,FLP_LSP_BOOT,slope,e_slope,r_value,LCType
J185943.04+030901.1,284.929159,3.150427,-0.31,ClassII,17,10.32,10.34,1.97,0.439,0.5,8333.3333,0.0053,-0.001959,0.0002588,-0.896,Linear
J181612.85-113808.9,274.053483,-11.635892,-0.12,FS,17,11.41,11.64,1.97,0.259,1.62,8333.3333,0.0022,-0.001413,0.0001003,-0.977,Linear
J185730.17+030916.4,284.375672,3.154629,-1.61,ClassIII,17,9.32,9.34,1.69,0.783,0.18,8333.3333,0.001,-0.001674,0.0003138,-0.811,Linear
J202336.64+383534.4,305.902585,38.592948,-1.74,ClassIII,18,13.1,13.18,0.194,0.123,0.67,7042.4574,0.0,-0.0001441,3.388e-05,-0.781,Linear
J184708.66+000455.0,281.786031,0.082005,0.31,ClassI,17,7.85,7.86,6.52,2.83,0.15,7286.9176,0.0015,0.006823,0.0009315,0.888,Linear
J181908.34-105743.5,274.784783,-10.961962,0.93,ClassI,19,11.56,11.64,0.448,0.254,0.36,7042.6582,0.0019,-0.000318,5.696e-05,-0.802,Linear
J181738.72-205431.0,274.411408,-20.908615,-0.62,ClassII,18,8.05,8.07,10.5,2.5,0.35,8333.3333,0.0078,0.008083,0.002311,0.77,Linear
J174918.02-271116.6,267.325147,-27.18799,-1.14,ClassII,17,8.15,8.16,14.3,3.32,0.54,8333.3333,0.0002,-0.01533,0.001156,-0.956,Linear
J215550.45+575628.8,328.960267,57.94132,-0.35,ClassII,19,8.53,8.41,16.4,1.79,0.8,6640.6848,0.002,-0.01331,0.001266,-0.915,Linear
J190506.40+063421.5,286.276734,6.57265,-0.75,ClassII,19,7.79,7.66,62.0,3.58,1.06,8333.3333,0.001,-0.037,0.004923,-0.954,Linear
J175153.38-295130.9,267.972542,-29.858622,-1.0,ClassII,18,8.97,8.98,5.1,1.4,0.43,8333.3333,0.0094,0.004922,0.000565,0.917,Linear
J185516.74+020752.0,283.819756,2.131227,-0.21,FS,17,7.99,8.11,20.9,2.66,0.59,8333.3333,0.0063,0.01759,0.004456,0.774,Linear
J190027.91+044031.0,285.116253,4.675534,-0.44,ClassII,17,10.41,10.42,0.93,0.483,0.28,8333.3333,0.0049,-0.0009795,0.0001519,-0.85,Linear
J185128.76+005752.6,282.869787,0.96471,1.64,ClassI,17,10.07,10.09,1.27,0.547,0.27,8333.3333,0.0001,-0.001353,0.000169,-0.891,Linear
J182604.56-125145.6,276.519139,-12.862663,0.71,ClassI,18,9.57,9.58,2.81,0.932,0.38,8333.3333,0.0024,-0.002871,0.0002632,-0.94,Linear
J185707.67+020902.7,284.28195,2.1508,-1.17,ClassII,17,10.0,10.01,1.91,0.778,0.45,8333.3333,0.0013,-0.001998,0.0002777,-0.894,Linear
J193238.81+171758.4,293.161735,17.299526,-0.21,FS,19,8.56,8.59,6.46,1.27,0.35,7633.7152,0.0084,0.004157,0.000907,0.786,Linear
J184607.42-035301.0,281.530717,-3.88347,-1.54,ClassII,17,10.71,10.82,2.43,0.504,1.07,8333.3333,0.0074,-0.002276,0.0003384,-0.867,Linear
J194320.31+230044.8,295.834734,23.012463,-0.14,FS,19,10.6,10.57,2.15,0.399,0.79,8333.3333,0.0045,-0.001249,0.0004044,-0.732,Linear
J192031.51+122414.0,290.131302,12.404119,0.14,FS,19,9.6,9.62,1.62,0.792,0.24,8333.3333,0.002,-0.001079,0.0002426,-0.77,Linear
J192640.61+155339.9,291.669282,15.894437,0.03,FS,19,10.2,10.16,2.9,0.428,0.82,8333.3333,0.0001,-0.001995,0.0002618,-0.933,Linear
J181957.53-161204.8,274.989763,-16.201388,-1.46,ClassII,18,7.12,7.1,28.9,6.23,0.35,8333.3333,0.0078,0.02702,0.002665,0.903,Linear
J191032.52+094720.3,287.635579,9.788977,-1.53,ClassII,16,7.59,7.58,9.28,3.48,0.18,8333.3333,0.0,0.009573,0.001189,0.915,Linear
J184805.23-034402.7,282.021583,-3.734044,-1.86,ClassIII,17,10.26,10.25,2.6,0.485,0.57,7286.8813,0.002,-0.002675,0.000171,-0.97,Linear
J180417.87-225206.9,271.074493,-22.86864,0.08,FS,19,7.79,7.78,31.1,3.33,0.71,8333.3333,0.0,-0.02011,0.003119,-0.924,Linear
J223210.37+582338.9,338.043218,58.394125,0.61,ClassI,18,10.32,10.3,1.43,0.375,0.37,8333.3333,0.0001,-0.001268,0.0001785,-0.852,Linear
J190615.48+072853.6,286.564321,7.481451,0.69,ClassI,19,10.13,10.15,2.04,0.541,0.47,8333.3333,0.0004,-0.001297,0.0003106,-0.84,Linear
J204042.42+395749.9,310.176868,39.963931,-1.76,ClassIII,18,12.52,12.56,0.174,0.152,0.36,8333.3333,0.0017,-0.0001743,4.197e-05,-0.72,Linear
J224658.81+614539.4,341.744999,61.760989,-1.98,ClassIII,18,11.95,11.97,0.335,0.168,0.4,8333.3333,0.0,-0.0003397,4.747e-05,-0.876,Linear
J185209.29+011159.7,283.038733,1.199961,-1.27,ClassII,17,10.47,10.52,1.47,0.376,0.41,8333.3333,0.0029,-0.001309,0.0002988,-0.794,Linear
J190329.44+042938.1,285.872842,4.493861,-1.82,ClassIII,19,11.19,11.25,0.785,0.306,0.49,7633.7144,0.0002,0.0005294,0.0001389,0.777,Linear
J204324.29+422934.4,310.851265,42.49289,-1.61,ClassIII,18,12.41,12.44,0.197,0.152,0.39,8333.3333,0.0006,-0.0002006,4.11e-05,-0.772,Linear
J190406.64+050853.3,286.027728,5.1482,0.55,ClassI,17,9.66,9.74,3.65,1.06,0.46,8333.3333,0.004,-0.00322,0.0007294,-0.787,Linear
